A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
1,39.580,13.915,2,9,4,8.625,1,1,6,1,2,70,1,1
0,47.750,8,2,8,4,7.875,1,1,6,1,2,0,1261,1
0,47.420,3,2,14,4,13.875,1,1,2,1,2,519,1705,1
1,23.170,0,2,13,4,0.085,1,0,0,0,2,0,1,1
1,22.580,1.5,1,6,4,0.54,0,0,0,1,2,120,68,0
1,26.750,1.125,2,14,8,1.25,1,0,0,0,2,0,5299,1
1,63.330,0.54,2,8,4,0.585,1,1,3,1,2,180,1,0
1,23.750,0.415,1,8,4,0.04,0,1,2,0,2,128,7,0
0,20.750,10.25,2,11,4,0.71,1,1,2,1,2,49,1,1
0,24.500,1.75,1,8,4,0.165,0,0,0,0,2,132,1,0
1,16.170,0.04,2,8,4,0.04,0,0,0,0,2,0,1,1
0,29.500,2,1,10,8,2,0,0,0,0,2,256,18,0
0,52.830,15,2,8,4,5.5,1,1,14,0,2,0,2201,1
1,32.330,3.5,2,4,4,0.5,0,0,0,1,2,232,1,0
1,21.080,4.125,1,3,8,0.04,0,0,0,0,2,140,101,0
1,28.170,0.125,1,4,4,0.085,0,0,0,0,2,216,2101,0
1,19.000,1.75,1,8,4,2.335,0,0,0,1,2,112,7,0
1,27.580,3.25,1,11,8,5.085,0,1,2,1,2,369,2,0
1,27.830,1.5,2,9,4,2,1,1,11,1,2,434,36,1
1,40.000,6.5,2,6,5,3.5,1,1,1,0,2,0,501,1
0,37.330,2.5,2,3,8,0.21,0,0,0,0,2,260,247,0
1,42.500,4.915,1,9,4,3.165,1,0,0,1,2,52,1443,1
1,56.750,12.25,2,7,4,1.25,1,1,4,1,2,200,1,1
1,43.170,5,2,3,5,2.25,0,0,0,1,2,141,1,0
0,23.750,0.71,2,9,4,0.25,0,1,1,1,2,240,5,0
1,18.500,2,2,3,4,1.5,1,1,2,0,2,120,301,1
0,40.830,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,0
0,24.500,0.5,2,11,8,1.5,1,0,0,0,2,280,825,1
1,42.000,9.79,2,14,8,7.96,1,1,8,0,2,0,1,1
0,19.500,0.165,2,11,4,0.04,0,0,0,1,2,380,1,0
1,21.500,11.5,2,3,4,0.5,1,0,0,1,2,100,69,0
1,31.250,2.835,2,1,1,0,0,1,5,0,2,176,147,0
1,27.250,1.585,2,13,8,1.835,1,1,12,1,2,583,714,1
1,48.750,26.335,1,1,1,0,1,0,0,1,2,0,1,0
0,30.420,1.375,2,9,8,0.04,0,1,3,0,2,0,34,0
1,29.420,1.25,2,9,4,1.75,0,0,0,0,2,200,1,0
1,28.250,5.04,1,8,5,1.5,1,1,8,1,2,144,8,1
1,40.250,21.5,2,10,9,20,1,1,11,0,2,0,1201,1
1,36.500,4.25,2,11,4,3.5,0,0,0,0,2,454,51,0
1,25.580,0.335,2,4,8,3.5,0,0,0,1,2,340,1,0
1,29.830,3.5,2,8,4,0.165,0,0,0,0,2,216,1,0
1,23.080,0,2,4,4,1,0,1,11,0,1,0,1,0
0,32.170,1.46,2,9,4,1.085,1,1,16,0,2,120,2080,1
1,25.170,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,1
0,35.170,3.75,2,1,1,0,0,1,6,0,2,0,201,0
0,18.580,10,2,2,4,0.415,0,0,0,0,2,80,43,0
1,39.920,5,2,3,5,0.21,0,0,0,0,2,550,1,0
1,23.420,1,2,8,4,0.5,0,0,0,1,1,280,1,0
1,37.580,0,2,8,4,0,0,0,0,0,3,184,1,1
0,24.750,13.665,2,11,8,1.5,0,0,0,0,2,280,2,0
0,47.000,13,2,3,5,5.165,1,1,9,1,2,0,1,1
1,34.170,5.25,2,9,4,0.085,0,0,0,1,2,290,7,1
1,22.170,0.585,1,1,1,0,0,0,0,0,2,100,1,0
1,27.750,1.29,2,4,8,0.25,0,0,0,1,1,140,1,0
1,42.750,4.085,2,6,4,0.04,0,0,0,0,2,108,101,0
1,28.670,14.5,2,2,4,0.125,0,0,0,0,2,0,287,0
1,36.250,5,2,8,5,2.5,1,1,6,0,2,0,368,1
0,18.170,10,1,11,8,0.165,0,0,0,0,2,340,1,0
1,21.250,1.5,2,9,4,1.5,0,0,0,0,2,150,9,1
0,38.920,1.665,2,6,4,0.25,0,0,0,0,2,0,391,0
1,31.830,0.04,1,7,4,0.04,0,0,0,0,2,0,1,0
0,17.330,9.5,2,6,4,1.75,0,1,10,1,2,0,11,0
0,20.420,0.835,2,11,4,1.585,1,1,1,0,2,0,1,1
0,39.080,4,2,8,4,3,0,0,0,0,2,480,1,0
1,38.670,0.21,2,4,4,0.085,1,0,0,1,2,280,1,1
1,27.670,13.75,2,9,4,5.75,1,0,0,1,2,487,501,1
1,27.750,0.585,1,13,4,0.25,1,1,2,0,2,260,501,1
1,19.000,0,1,1,1,0,0,1,4,0,2,45,2,0
0,25.000,0.875,2,14,8,1.04,1,0,0,1,2,160,5861,1
1,27.670,2,2,14,8,1,1,1,4,0,2,140,7545,1
1,22.250,9,2,6,4,0.085,0,0,0,0,2,0,1,0
0,49.830,13.585,2,4,8,8.5,1,0,0,1,2,0,1,1
1,32.330,2.5,2,8,4,1.25,0,0,0,1,2,280,1,0
1,38.250,10.125,1,4,4,0.125,0,0,0,0,2,160,1,0
1,47.330,6.5,2,8,4,1,0,0,0,1,2,0,229,0
1,27.830,4,1,3,8,5.75,1,1,2,1,2,75,1,0
0,35.750,0.915,2,6,4,0.75,1,1,4,0,2,0,1584,1
1,33.580,0.25,2,3,5,4,0,0,0,1,1,420,1,0
1,34.080,0.08,1,7,5,0.04,1,1,1,1,2,280,2001,1
0,20.750,10.335,2,13,8,0.335,1,1,1,1,2,80,51,1
1,33.170,1,2,14,4,0.75,1,1,7,1,2,340,4072,1
1,22.750,11,2,11,4,2.5,1,1,7,1,2,100,810,1
1,48.750,8.5,2,8,8,12.5,1,1,9,0,2,181,1656,1
1,40.580,5,2,8,4,5,1,1,7,0,2,0,3066,1
1,20.670,0.835,1,8,4,2,0,0,0,1,1,240,1,0
0,38.750,1.5,2,1,1,0,0,0,0,0,2,76,1,0
0,57.080,19.5,2,8,4,5.5,1,1,7,0,2,0,3001,1
0,31.250,3.75,2,13,8,0.625,1,1,9,1,2,181,1,1
1,22.000,0.79,2,9,4,0.29,0,1,1,0,2,420,284,0
0,58.330,10,2,11,4,4,1,1,14,0,2,0,1603,1
1,28.920,0.375,2,8,4,0.29,0,0,0,0,2,220,141,0
0,46.000,4,2,5,3,0,1,0,0,0,2,100,961,1
1,21.000,3,1,2,4,1.085,1,1,8,1,2,160,2,1
0,24.750,12.5,2,6,4,1.5,1,1,12,1,2,120,568,1
0,20.830,0.5,1,10,2,1,0,0,0,0,2,260,1,0
1,24.580,13.5,1,1,1,0,0,0,0,0,2,184,1,0
0,26.500,2.71,1,8,4,0.085,0,0,0,0,1,80,1,0
1,40.920,0.835,2,1,1,0,1,0,0,0,2,130,2,0
0,38.330,4.415,2,8,4,0.125,0,0,0,0,2,160,1,0
1,19.580,0.585,2,1,1,0,0,1,3,0,2,350,770,0
1,39.250,9.5,2,7,4,6.5,1,1,14,0,2,240,4608,1
1,25.750,0.5,2,8,4,1.46,1,1,5,1,2,312,1,1
0,46.080,3,2,8,4,2.375,1,1,8,1,2,396,4160,1
1,19.670,10,1,4,8,0.835,1,0,0,1,2,140,1,0
0,22.250,1.25,1,1,1,3.25,0,0,0,0,2,280,1,0
1,18.830,3.54,1,1,1,0,0,0,0,1,2,180,2,0
1,64.080,20,2,14,8,17.5,1,1,9,1,2,0,1001,1
0,16.500,1.25,2,11,4,0.25,0,1,1,0,2,108,99,0
0,68.670,15,2,10,9,0,1,1,14,0,2,0,3377,1
1,76.750,22.29,2,10,9,12.75,1,1,1,1,2,0,110,1
0,15.920,2.875,2,11,4,0.085,0,0,0,0,2,120,1,0
1,34.830,4,2,2,5,12.5,1,0,0,1,2,184,1,0
0,47.420,8,2,10,5,6.5,1,1,6,0,2,375,51101,1
1,23.170,0,2,8,4,0,0,0,0,0,3,184,1,1
1,45.170,1.5,2,8,4,2.5,1,0,0,1,2,140,1,0
1,15.170,7,2,10,4,1,0,0,0,0,2,600,1,0
1,18.830,0.415,1,8,4,0.165,0,1,1,0,2,200,2,0
1,52.500,6.5,2,4,4,6.29,1,1,15,0,2,0,11203,1
1,19.170,0,1,7,5,0,0,0,0,1,1,500,2,1
1,18.000,0.165,2,11,7,0.21,0,0,0,0,2,200,41,1
1,37.500,0.835,2,10,4,0.04,0,0,0,0,2,120,6,0
1,22.670,1.585,1,9,4,3.085,1,1,6,0,2,80,1,1
1,47.830,4.165,2,14,5,0.085,0,0,0,1,2,520,1,0
1,34.080,2.5,2,8,4,1,0,0,0,0,2,460,17,0
0,33.080,1.625,2,2,4,0.54,0,0,0,1,2,0,1,0
1,43.080,0.375,1,8,4,0.375,1,1,8,1,2,300,163,1
1,34.500,4.04,1,3,5,8.5,1,1,7,1,2,195,1,1
1,42.750,3,2,3,5,1,1,0,0,0,2,0,201,0
1,18.250,0.165,2,2,4,0.25,0,0,0,1,1,280,1,0
1,23.080,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,0
0,22.500,8.46,1,14,4,2.46,0,0,0,0,2,164,1,1
1,17.920,0.205,2,6,4,0.04,0,0,0,0,2,280,751,0
1,18.420,10.415,1,6,4,0.125,1,0,0,0,2,120,376,0
0,27.670,1.5,2,7,4,2,1,0,0,0,1,368,1,0
0,18.920,9.25,1,8,4,1,1,1,4,1,2,80,501,1
1,22.670,0.75,2,3,4,1.585,0,1,1,1,2,400,10,0
1,62.500,12.75,1,8,8,5,1,0,0,0,2,112,1,0
0,23.500,9,2,11,4,8.5,1,1,5,1,2,120,1,1
1,35.250,3.165,2,14,8,3.75,1,0,0,1,2,680,1,0
0,56.830,4.25,1,1,1,5,0,0,0,1,2,0,5,0
0,53.330,0.165,2,1,1,0,0,0,0,1,1,62,28,0
1,41.170,4.04,2,13,8,7,1,1,8,0,2,320,1,1
1,42.170,5.04,2,11,8,12.75,1,0,0,1,2,92,1,1
1,41.170,1.25,1,9,4,0.25,0,0,0,0,2,0,196,0
0,33.750,0.75,2,4,5,1,1,1,3,1,2,212,1,0
1,25.670,12.5,2,13,4,1.21,1,1,67,1,2,140,259,1
1,24.330,6.625,1,2,4,5.5,1,0,0,1,1,100,1,1
1,23.330,11.625,1,9,4,0.835,1,0,0,1,2,160,301,1
1,30.670,2.5,2,13,8,2.25,0,0,0,1,1,340,1,0
1,37.170,4,2,8,5,5,1,0,0,1,1,280,1,0
1,26.250,1.54,2,9,4,0.125,0,0,0,0,2,100,1,0
0,29.750,0.665,2,9,4,0.25,0,0,0,1,2,300,1,0
0,23.000,1.835,2,5,3,0,0,1,1,0,2,200,54,0
1,17.250,3,2,4,4,0.04,0,0,0,1,2,160,41,0
1,29.250,14.79,2,6,4,5.04,1,1,5,1,2,168,1,1
0,28.580,3.54,2,3,5,0.5,1,0,0,1,2,171,1,0
1,34.580,0,2,8,4,0,0,0,0,0,3,184,1,0
1,23.420,0.585,2,8,8,0.085,1,0,0,0,2,180,1,0
1,25.000,11.25,2,8,4,2.5,1,1,17,0,2,200,1209,1
0,18.750,7.5,2,11,4,2.71,1,1,5,0,2,184,26727,1
1,17.080,0.25,2,11,4,0.335,0,1,4,0,2,160,9,0
0,16.080,0.335,2,1,1,0,0,1,1,0,2,160,127,0
1,32.920,2.5,2,6,4,1.75,0,1,2,1,2,720,1,0
0,20.330,10,2,8,8,1,1,1,4,0,2,50,1466,1
0,21.750,1.75,1,5,3,0,0,0,0,0,2,160,1,0
1,33.170,1.04,2,12,8,6.5,1,0,0,1,2,164,31286,1
0,25.330,2.085,2,8,8,2.75,1,0,0,1,2,360,2,0
0,24.750,3,2,11,8,1.835,1,1,19,0,2,0,501,1
1,30.830,0,2,9,4,1.25,1,1,1,0,2,202,1,1
1,20.750,5.085,1,5,4,0.29,0,0,0,0,2,140,185,0
0,40.330,8.125,1,4,4,0.165,0,1,2,0,2,184,19,0
1,29.420,1.25,2,8,8,0.25,0,1,2,1,2,400,109,0
1,40.920,0.5,1,7,4,0.5,0,0,0,1,2,130,1,0
0,29.500,0.46,2,4,4,0.54,1,1,4,0,2,380,501,1
1,54.420,0.5,1,4,8,3.96,1,0,0,0,2,180,315,1
1,34.000,5.5,1,8,4,1.5,0,0,0,1,2,60,1,0
1,25.000,12,2,4,4,2.25,1,1,2,1,2,120,6,0
0,26.580,2.54,1,1,1,0,0,0,0,1,2,180,61,0
0,33.080,4.625,2,11,8,1.625,1,1,2,0,2,0,1,1
1,33.670,2.165,2,8,4,1.5,0,0,0,0,3,120,1,0
1,36.170,5.5,2,3,5,5,0,0,0,0,2,210,688,0
1,19.500,0.29,2,4,4,0.29,0,0,0,0,2,280,365,0
1,24.170,0.875,2,11,4,4.625,1,1,2,1,2,520,2001,1
0,30.500,6.5,2,8,5,4,1,1,7,1,2,0,3066,1
1,20.000,7,2,8,4,0.5,0,0,0,0,2,0,1,0
1,25.330,0.58,2,8,4,0.29,1,1,7,1,2,96,5125,1
1,29.580,4.75,2,7,4,2,0,1,1,1,2,460,69,0
1,43.170,2.25,2,3,5,0.75,1,0,0,0,2,560,1,0
1,28.750,1.165,2,4,4,0.5,1,0,0,0,1,280,1,0
1,31.570,3,1,3,5,7,0,0,0,0,2,0,2,0
1,20.250,9.96,2,10,2,0,1,0,0,0,2,0,1,1
1,45.000,8.5,2,13,8,14,1,1,1,1,2,88,2001,1
0,22.830,2.29,2,11,8,2.29,1,1,7,1,2,140,2385,1
0,20.670,3,2,11,4,0.165,1,1,3,0,2,100,7,1
1,27.830,1.5,2,9,4,2.25,0,1,1,1,2,100,4,0
1,40.920,2.25,1,14,8,10,1,0,0,1,2,176,1,0
1,56.420,28,1,8,4,28.5,1,1,40,0,2,0,16,1
0,64.080,0.165,2,1,1,0,1,1,1,0,2,232,101,1
0,22.420,11.25,1,14,8,0.75,1,1,4,0,2,0,322,1
0,24.330,2.5,1,3,5,4.5,0,0,0,0,2,200,457,0
0,69.500,6,2,1,1,0,0,0,0,0,1,0,1,0
1,35.580,0.75,2,4,4,1.5,0,0,0,1,2,231,1,0
1,48.330,12,2,7,4,16,1,0,0,0,1,110,1,1
0,28.080,15,1,10,9,0,1,0,0,0,2,0,13213,1
1,35.170,2.5,2,4,4,4.5,1,1,7,0,2,150,1271,1
1,49.500,7.585,2,3,5,7.585,1,1,15,1,2,0,5001,1
1,80.250,5.5,2,8,4,0.54,1,0,0,0,2,0,341,0
1,29.250,13,2,2,8,0.5,0,0,0,0,2,228,1,0
0,16.920,0.5,2,3,4,0.165,0,1,6,1,2,240,36,0
0,16.000,0.165,2,6,4,1,0,1,2,1,2,320,2,0
1,60.080,14.5,2,1,1,18,1,1,15,1,2,0,1001,1
1,28.000,2,2,4,8,4.165,1,1,2,1,2,181,1,1
1,41.500,1.54,2,3,5,3.5,0,0,0,0,2,216,1,1
1,24.080,9,2,6,4,0.25,0,0,0,1,2,0,1,0
1,24.500,13.335,1,6,4,0.04,0,0,0,1,2,120,476,0
1,34.750,15,2,12,7,5.375,1,1,9,1,2,0,135,1
1,33.670,1.25,2,9,4,1.165,0,0,0,0,2,120,1,0
0,40.830,10,2,11,8,1.75,1,0,0,0,2,29,838,1
1,20.420,1.835,2,8,4,2.25,1,1,1,0,2,100,151,1
1,37.500,1.125,1,2,4,1.5,0,0,0,1,2,431,1,1
1,48.500,4.25,2,7,4,0.125,1,0,0,1,2,225,1,1
1,23.000,0.75,2,7,4,0.5,0,0,0,1,1,320,1,0
1,35.000,3.375,2,8,8,8.29,0,0,0,1,2,0,1,0
1,16.330,2.75,2,6,4,0.665,0,1,1,0,2,80,22,0
1,22.670,10.5,2,11,8,1.335,1,0,0,0,2,100,1,1
0,21.750,11.75,2,8,4,0.25,0,0,0,1,2,180,1,0
0,25.080,2.54,1,6,4,0.25,1,0,0,1,2,370,1,1
1,36.330,2.125,1,9,4,0.085,1,1,1,0,2,50,1188,1
0,28.580,3.75,2,8,4,0.25,0,1,1,1,2,40,155,0
1,22.170,12.125,2,8,4,3.335,0,1,2,1,2,180,174,0
1,34.170,1.54,2,13,4,1.54,1,1,1,1,2,520,50001,1
1,35.000,2.5,2,3,4,1,0,0,0,1,2,210,1,0
1,28.580,3.625,2,6,4,0.25,0,0,0,1,2,100,1,0
0,19.170,5.415,2,3,8,0.29,0,0,0,0,2,80,485,0
1,23.250,1,2,8,4,0.835,1,0,0,0,1,300,1,1
1,16.500,0.125,2,8,4,0.165,0,0,0,0,2,132,1,0
0,20.080,0.125,2,11,4,1,0,1,1,0,2,240,769,1
1,22.330,11,2,9,4,2,1,1,1,0,2,80,279,1
1,34.000,5.085,1,3,5,1.085,0,0,0,1,2,480,1,0
0,57.080,0.335,2,3,5,1,1,0,0,1,2,252,2198,0
1,16.250,0.835,2,7,4,0.085,1,0,0,0,1,200,1,0
1,32.830,2.5,2,13,8,2.75,1,1,6,0,2,160,2073,1
1,48.250,25.085,2,9,4,1.75,1,1,3,0,2,120,15,1
1,34.170,2.75,2,3,5,2.5,0,0,0,1,2,232,201,0
1,18.330,1.21,1,10,2,0,0,0,0,0,2,100,1,0
1,44.250,0.5,2,7,4,10.75,1,0,0,0,1,400,1,0
1,38.920,1.75,2,4,4,0.5,0,0,0,1,2,300,3,0
1,31.580,0.75,1,6,4,3.5,0,0,0,1,2,320,1,0
1,25.080,1.71,2,14,4,1.665,1,1,1,1,2,395,21,1
1,65.420,11,2,10,9,20,1,1,7,1,2,22,1,1
1,41.330,0,2,8,5,15,1,0,0,0,2,0,1,1
1,31.250,1.125,2,1,1,0,0,1,1,0,2,96,20,0
0,36.750,4.71,2,1,1,0,0,0,0,0,2,160,1,0
1,32.330,7.5,2,10,5,1.585,1,0,0,1,1,420,1,0
0,31.920,3.125,2,1,1,3.04,0,1,2,1,2,200,5,0
1,24.830,2.75,2,8,4,2.25,1,1,6,0,2,184,601,1
1,21.920,0.54,1,14,4,0.04,1,1,1,1,2,840,60,1
1,34.250,3,2,13,8,7.415,1,0,0,1,2,0,1,1
1,51.830,3,1,1,1,1.5,0,0,0,0,2,180,5,0
0,31.570,1.5,2,1,1,0,0,1,2,1,2,200,106,0
1,38.420,0.705,2,8,4,0.375,0,1,2,0,2,225,501,0
1,39.170,1.71,2,14,4,0.125,1,1,5,1,2,480,1,1
1,18.170,2.46,2,8,7,0.96,0,1,2,1,2,160,588,0
1,39.000,5,2,13,4,3.5,1,1,10,1,2,0,1,1
1,20.000,11.045,2,8,4,2,0,0,0,1,2,136,1,0
1,32.750,2.335,2,2,8,5.75,0,0,0,1,2,292,1,0
1,18.580,5.71,2,2,4,0.54,0,0,0,0,2,120,1,0
0,15.830,7.625,2,11,4,0.125,0,1,1,1,2,0,161,0
1,39.330,5.875,2,13,8,10,1,1,14,1,2,399,1,1
0,19.580,0.665,2,9,4,1.665,0,0,0,0,2,220,6,0
1,21.330,10.5,2,8,4,3,1,0,0,1,2,0,1,1
0,22.670,0.75,2,8,4,2,0,1,2,1,2,200,395,0
1,25.670,3.25,2,8,8,2.29,0,1,1,1,2,416,22,0
1,21.080,10.085,1,10,8,1.25,0,0,0,0,2,260,1,0
0,49.000,1.5,2,5,3,0,1,0,0,1,2,100,28,0
1,20.670,5.29,2,11,4,0.375,1,1,1,0,2,160,1,0
0,19.670,0.21,2,11,8,0.29,1,1,11,0,2,80,100,1
1,21.830,0.25,2,2,8,0.665,1,0,0,1,2,0,1,1
1,26.830,0.54,2,4,1,0,0,0,0,0,2,100,1,0
0,38.580,5,2,13,4,13.5,1,0,0,1,2,980,1,0
0,50.080,12.54,2,6,4,2.29,1,1,3,1,2,156,1,1
0,15.750,0.375,2,8,4,1,0,0,0,0,2,120,19,0
0,24.500,12.75,2,8,5,4.75,1,1,2,0,2,73,445,1
1,21.000,4.79,1,9,4,2.25,1,1,1,1,2,80,301,1
1,22.080,11,2,13,4,0.665,1,0,0,0,2,100,1,1
1,54.580,9.415,2,1,1,14.415,1,1,11,1,2,30,301,1
1,18.080,5.5,2,4,4,0.5,1,0,0,0,2,80,1,1
1,36.670,4.415,1,4,4,0.25,1,1,10,1,2,320,1,1
1,38.170,10.125,2,14,4,2.5,1,1,6,0,2,520,197,1
1,21.830,1.54,2,4,4,0.085,0,0,0,1,2,356,1,0
0,51.920,6.5,2,3,5,3.085,0,0,0,1,2,73,1,0
1,22.170,2.25,2,3,4,0.125,0,0,0,0,2,160,11,0
1,52.420,1.5,2,2,4,3.75,0,0,0,1,2,0,351,0
0,60.920,5,2,6,4,4,1,1,4,0,2,0,100,1
1,20.170,5.625,2,9,4,1.71,1,0,0,0,1,120,1,1
1,23.250,4,2,8,5,0.25,1,0,0,1,2,160,1,1
1,36.170,0.42,1,9,4,0.29,0,0,0,1,2,309,3,0
0,42.250,1.75,1,8,4,0,0,0,0,1,2,150,2,0
1,23.580,0.835,2,3,8,0.085,0,0,0,1,2,220,6,0
0,36.000,1,2,8,4,2,1,1,11,0,2,0,457,1
1,39.580,5,2,1,1,0,0,1,2,0,2,17,2,0
0,18.830,4.415,1,8,8,3,1,0,0,0,2,240,1,1
1,27.250,0.625,2,6,4,0.455,1,0,0,1,2,200,1,0
1,32.420,3,2,2,4,0.165,0,0,0,1,2,120,1,0
1,19.420,1.5,1,13,4,2,1,0,0,1,2,100,21,0
0,22.580,10.75,2,11,4,0.415,1,1,5,1,2,0,561,1
1,39.920,6.21,2,11,4,0.04,1,1,1,0,2,200,301,1
1,22.670,0.165,2,8,3,2.25,0,0,0,1,1,0,1,1
0,23.420,0.79,1,11,4,1.5,1,1,2,1,2,80,401,1
0,30.000,5.29,2,10,2,2.25,1,1,5,1,2,99,501,1
0,40.330,7.54,1,11,8,8,1,1,14,0,2,0,2301,1
0,36.750,5.125,2,10,4,5,1,0,0,1,2,0,4001,1
1,31.000,2.085,2,8,4,0.085,0,0,0,0,2,300,1,0
0,25.170,2.875,2,14,8,0.875,1,0,0,0,2,360,1,1
1,27.420,12.5,2,6,5,0.25,0,0,0,1,2,720,1,0
1,31.570,4,2,14,4,5,1,1,3,1,2,290,2280,1
1,34.080,6.5,2,6,4,0.125,1,0,0,1,2,443,1,0
1,22.080,2.335,2,4,4,0.75,0,0,0,0,2,180,1,0
1,31.080,3.085,2,8,4,2.5,0,1,2,1,2,160,42,0
1,31.570,0.5,2,8,5,0.835,1,0,0,1,1,320,1,0
1,16.000,3.125,2,9,4,0.085,0,1,1,0,2,0,7,0
1,27.250,1.665,2,13,8,5.085,1,1,9,0,2,399,828,1
1,25.170,3,2,8,4,1.25,0,1,1,0,2,0,23,0
1,67.750,5.5,2,10,9,13,1,1,1,1,2,0,1,1
0,18.830,9.5,2,9,4,1.625,1,1,6,1,2,40,601,1
0,27.250,0.29,2,7,8,0.125,0,1,1,1,2,272,109,0
0,19.580,0.665,1,8,4,1,0,1,1,0,2,2000,3,0
1,30.750,1.585,2,2,4,0.585,0,0,0,1,1,0,1,0
0,50.250,0.835,2,6,4,0.5,0,0,0,1,2,240,118,0
1,31.080,1.5,1,9,4,0.04,0,0,0,0,1,160,1,0
1,51.580,15,2,8,4,8.5,1,1,9,0,2,0,1,1
0,36.580,0.29,2,1,1,0,0,1,10,0,2,200,19,0
1,33.580,2.75,2,7,4,4.25,1,1,6,0,2,204,1,1
0,20.830,3,2,6,4,0.04,1,0,0,0,2,100,1,1
1,36.170,18.125,2,9,4,0.085,0,0,0,0,2,320,3553,0
1,50.750,0.585,2,1,1,0,0,0,0,0,2,145,1,0
0,23.580,0.83,2,11,4,0.415,0,1,1,1,2,200,12,0
1,35.170,4.5,2,14,8,5.75,0,0,0,1,1,711,1,1
0,58.420,21,2,3,5,10,1,1,13,0,2,0,6701,1
1,28.250,0.875,2,7,4,0.96,1,1,3,1,2,396,1,1
1,31.570,0.625,2,4,4,0.25,0,0,0,0,2,380,2011,0
0,31.750,3,1,5,3,0,0,0,0,0,2,160,21,0
1,19.420,6.5,2,9,8,1.46,1,1,7,0,2,80,2955,1
1,39.080,6,2,7,4,1.29,1,1,5,1,2,108,1098,1
1,17.080,3.29,2,3,4,0.335,0,0,0,1,2,140,3,0
1,44.830,7,1,8,4,1.625,0,0,0,0,2,160,3,0
1,16.250,0,1,6,4,0.25,0,0,0,0,2,60,1,0
0,41.170,6.5,2,11,4,0.5,1,1,3,1,2,145,1,1
1,28.920,15,2,8,8,5.335,1,1,11,0,2,0,2284,1
0,26.170,2,2,5,3,0,0,0,0,1,2,276,2,0
1,38.580,3.335,2,9,4,4,1,1,14,0,2,383,1345,1
1,25.170,6,2,8,4,1,1,1,3,0,2,0,1,1
0,28.170,0.375,2,11,4,0.585,1,1,4,0,2,80,1,1
1,73.420,17.75,2,1,1,0,1,0,0,1,2,0,1,1
1,22.500,11.5,1,7,4,1.5,0,0,0,1,2,0,4001,0
0,27.170,1.25,2,1,1,0,0,1,1,0,2,92,301,0
0,19.170,8.585,2,13,8,0.75,1,1,7,0,2,96,1,1
0,25.580,0,2,8,4,0,0,0,0,0,3,184,1,1
